recipeId,locationId,price,modifierId
137,10,2.02,
138,18,7.96,
138,1,13.52,2
138,10,10.71,
138,24,3.44,2
138,13,7.1,2
139,2,10.82,2
139,21,12.59,1
139,6,6.77,
139,23,4.37,2
139,1,6.07,1
140,15,11.38,1
140,1,3.53,2
140,23,9,
141,12,12.34,2
141,19,8.04,2
142,7,4.36,1
142,17,10.94,
142,23,9.4,1
142,11,5.55,1
142,16,4.82,
143,7,5.02,
143,16,11.74,
143,12,12.94,
144,10,11.65,1
144,13,8.98,
145,19,7.18,
145,22,5.55,1
145,2,7.64,1
145,6,12.51,2
147,2,5.71,
147,7,9.28,1
147,16,3.37,2
148,13,11.97,
148,21,12.63,
148,7,10.23,1
149,20,11.34,1
150,10,10.6,2
150,19,11.87,
150,23,12.13,
151,15,13.66,
151,24,10.61,2
151,13,5.1,
151,20,12.94,1
152,23,5.78,
152,19,3.92,1
152,13,4.51,1
152,14,6.7,2
152,15,11.81,2
152,25,11.31,1
153,13,9.75,1
153,23,3.5,
153,15,9.02,1
153,2,13.68,1
153,19,5.75,1
154,15,5.71,2
154,19,12.12,1
154,17,9.83,
154,24,11.62,1
154,11,2.33,
155,5,2.19,
155,22,9.47,2
155,13,6.9,
156,4,6.98,1
156,10,8.46,
156,9,5.87,
156,16,10.69,1
156,19,14,
156,23,12.6,1
157,24,2.62,2
157,22,8.39,1
158,24,3.41,1
158,19,6.26,2
159,6,13.95,
159,23,12.96,
160,14,2.85,
160,7,2.82,2
160,1,4,
161,13,13.69,
161,25,13.05,1
161,20,10.4,2
162,22,13.03,
162,24,8.83,1
162,11,11.33,1
163,4,6.17,2
163,10,11.61,
163,20,12.31,
164,23,6.13,2
164,15,12.09,
164,6,3.33,
165,5,4.04,
165,14,4.68,1
165,22,10.75,2
165,10,9.22,2
166,18,5.82,1
166,23,8.07,1
166,20,2.75,1
167,19,12.14,2
167,13,3.65,1
167,15,5.67,
167,8,2.89,2
168,21,2.61,1
168,13,3,
168,1,10.53,
168,17,13.83,
169,2,7.26,
169,20,12.99,
170,12,7.07,1
170,16,2.71,
170,7,10.68,
170,21,6.93,
171,2,9.82,
171,23,13.93,1
171,8,11.14,1
171,13,3.79,2
171,10,5.37,1
171,24,3.46,2
172,24,2.81,
172,15,13.4,
172,10,2.73,
172,2,6.15,2
173,11,9.66,1
173,15,3.93,1
173,24,6.33,1
173,16,12.15,1
174,7,9.21,2
174,15,2.97,2
175,19,6.09,1
175,17,6.23,1
176,8,2.81,
176,1,10.22,2
176,20,5.27,
176,15,2.07,1
176,11,7.62,1
177,22,3.05,1
178,13,5.44,
178,2,12.57,
178,14,6.07,
178,4,11.28,2
178,17,9.53,2
178,1,4.65,2
178,20,9.98,2
179,23,3.5,
179,10,12.24,1
179,14,9.06,
180,25,13.06,1
